Keyword	Category
lnuB	macrolide-lincosamide-streptogramin
macA	macrolide-lincosamide-streptogramin
macB	macrolide-lincosamide-streptogramin
mefA	macrolide-lincosamide-streptogramin
mgtA	macrolide-lincosamide-streptogramin
mphA	macrolide-lincosamide-streptogramin
mphB	macrolide-lincosamide-streptogramin
mphC	macrolide-lincosamide-streptogramin
msrA	macrolide-lincosamide-streptogramin
msrC	macrolide-lincosamide-streptogramin
oleB	macrolide-lincosamide-streptogramin
oleD	macrolide-lincosamide-streptogramin
srmB	macrolide-lincosamide-streptogramin
tlcC	macrolide-lincosamide-streptogramin
vatA	macrolide-lincosamide-streptogramin
vatB	macrolide-lincosamide-streptogramin
vatC	macrolide-lincosamide-streptogramin
vatD	macrolide-lincosamide-streptogramin
vatE	macrolide-lincosamide-streptogramin
vatG	macrolide-lincosamide-streptogramin
vgaA	macrolide-lincosamide-streptogramin
vgaB	macrolide-lincosamide-streptogramin
vgaD	macrolide-lincosamide-streptogramin
vgaE	macrolide-lincosamide-streptogramin
vgbA	macrolide-lincosamide-streptogramin
vgbB	macrolide-lincosamide-streptogramin
EmrB-QacA	multidrug
efflux_EmrB	multidrug
TolC	multidrug
abeS	multidrug
acrA	multidrug
acrB	multidrug
acrF	multidrug
adeA	multidrug
adeB	multidrug
adeC	multidrug
adeJ	multidrug
adeK	multidrug
amrB	multidrug
bicyclomycin	multidrug
bpeE	multidrug
bpeF	multidrug
ceoA	multidrug
ceoB	multidrug
cmeA	multidrug
cmeB	multidrug
emrA	multidrug
emrB	multidrug
emrD	multidrug
emrE	multidrug
emrK	multidrug
major	multidrug
marR	multidrug
mdfA	multidrug
mdtA	multidrug
mdtB	multidrug
mdtC	multidrug
mdtD	multidrug
mdtE	multidrug
mdtF	multidrug
mdtG	multidrug
mdtH	multidrug
mdtK	multidrug
mdtL	multidrug
mdtM	multidrug
mdtN	multidrug
mdtO	multidrug
mdtP	multidrug
mepA	multidrug
mexA	multidrug
mexB	multidrug
mexC	multidrug
mexD	multidrug
mexE	multidrug
mexF	multidrug
mexG	multidrug
mexH	multidrug
mexI	multidrug
mexT	multidrug
mexW	multidrug
mexX	multidrug
mexY	multidrug
mtrE	multidrug
mtrR	multidrug
norA	multidrug
omp36	multidrug
ompF	multidrug
ompR	multidrug
opcM	multidrug
opmD	multidrug
oprA	multidrug
oprC	multidrug
oprJ	multidrug
oprM	multidrug
oprN	multidrug
pmrA	multidrug
qacA	multidrug
qacB	multidrug
qacG	multidrug
sdeY	multidrug
smeB	multidrug
smeC	multidrug
smeD	multidrug
smeE	multidrug
smeF	multidrug
ykkC	multidrug
ykkD	multidrug
arnA	polymyxin
puromycin	puromycin
mfpA	quinolone
norB	quinolone
qepA	quinolone
qnrA	quinolone
qnrB	quinolone
qnrS	quinolone
rifampin	rifamycin
spcN	spectinomycin
sul1	sulfonamide
sul2	sulfonamide
sul3	sulfonamide
otrA	tetracycline
tcr3	tetracycline
tet31	tetracycline
tet32	tetracycline
tet34	tetracycline
tet35	tetracycline
tet36	tetracycline
tet37	tetracycline
tet39	tetracycline
tet40	tetracycline
tet41	tetracycline
tet43	tetracycline
tet44	tetracycline
tetA	tetracycline
tetB	tetracycline
tetC	tetracycline
tetD	tetracycline
tetE	tetracycline
tetG	tetracycline
tetH	tetracycline
tetJ	tetracycline
tetL	tetracycline
tetM	tetracycline
tetO	tetracycline
tetP	tetracycline
tetQ	tetracycline
tetR	tetracycline
tetS	tetracycline
tetT	tetracycline
tetU	tetracycline
tetV	tetracycline
tetW	tetracycline
tetX	tetracycline
tetY	tetracycline
tetZ	tetracycline
dfrA1	trimethoprim
dfrA10	trimethoprim
dfrA12	trimethoprim
dfrA13	trimethoprim
dfrA14	trimethoprim
dfrA15	trimethoprim
dfrA16	trimethoprim
dfrA17	trimethoprim
dfrA19	trimethoprim
dfrA20	trimethoprim
dfrA21	trimethoprim
dfrA22	trimethoprim
dfrA23	trimethoprim
dfrA24	trimethoprim
dfrA25	trimethoprim
dfrA5	trimethoprim
dfrA7	trimethoprim
dfrB1	trimethoprim
dfrB2	trimethoprim
dfrB3	trimethoprim
dfrB6	trimethoprim
rpsD	unclassified
sdiA	unclassified
tmrB	unclassified
vanA	vancomycin
vanB	vancomycin
vanC	vancomycin
vanD	vancomycin
vanE	vancomycin
vanG	vancomycin
vanH	vancomycin
vanM	vancomycin
vanN	vancomycin
vanR	vancomycin
vanS	vancomycin
vanT	vancomycin
vanU	vancomycin
vanW	vancomycin
vanX	vancomycin
vanY	vancomycin
vanZ	vancomycin
